year,revenue
2001,169
2002,175
2003,158
2004,180
2005,195
2006,217
2007,235
2008,261
2009,268
2010,233
2011,225
2012,232
2013,238
2014,263
2015,313
2016,332
2017,336
2018,340
2019,362
2020,107
2021,302
2022,374
