name,height,weight
Eric Chenowith,7.1,270lb
Chucky Brown,6.7,214lb
Tony Massenburg,6.9,220lb
Trevor Ariza,6.8,200lb
Lonny Baxter,6.8,260lb
Chase Budinger,6.7,218lb
Brian Cardinal,6.8,245lb
Kim English,6.6,200lb
Andrew Harrison,6.6,210lb
Markel Brown,6.3,190lb
Steve Henson,5.11,177lb
Malik Rose,6.7,250lb
Mike Muscala,6.11,234lb
Reyshawn Terry,6.7,232lb
Josh Harrellson,6.1,275lb
Matt Bonner,6.1,240lb
Scott Haffner,6.3,180lb
Demetrius Jackson,6.1,198lb
Dwayne Morton,6.7,195lb
Cedric Henderson Jr.,6.6,190lb
Marcus Thornton,6.4,205lb
Ryan Robertson,6.5,190lb
Troy Brown,6.7,215lb
Nick Calathes,6.6,194lb
Sam Clancy,6.7,240lb
Toby Bailey Jr,6.6,213lb
Dwight Powell,6.1,240lb
Antonio Davis,6.9,215lb
Jabari Smith,6.11,250lb
Jordan Clarkson,6.5,193lb
Erick Green,6.3,185lb
Norman Powell,6.4,215lb
Kenny Williams,6.4,185lb
Bernard Robinson Jr,6.6,210lb
Darius Miller,6.8,225lb
God Shammgod,6,169lb
Matt Barnes,6.7,235lb
A.J. Hammons,7,261lb
Danny Green,6.5,210lb
Loren Woods,7.1,245lb
Voshon Lenard,6.4,205lb
Ricky Blanton,6.7,215lb
Dee Brown,6,185lb
Henry Walker,6.6,220lb
Bracey Wright,6.3,210lb
Eric Washington,6.4,190lb
Tyson Wheeler,5.1,165lb
Jake Layman,6.9,205lb
Russ Smith,6,165lb
Paul Millsap,6.8,245lb
Tyus Edney,5.1,152lb
Mo Williams,6.1,185lb
Todd MacCulloch,7,280lb
Lamar Patterson,6.5,225lb
Dakari Johnson,7,255lb
Taylor Griffin,6.7,238lb
Brian Davis,6.7,200lb
Ryan Kelly,6.11,230lb
Jason Hart,6.3,185lb
Richard Hendrix,6.9,255lb
Aaron White,6.9,228lb
Josh Selby,6.2,183lb
Michael Gbinije,6.7,200lb
Aaron Gray,7,270lb
Kyle O'Quinn,6.1,240lb
Leon Powe Jr,6.8,240lb
Cameron Bairstow,6.9,250lb
James Jones,6.8,225lb
Ken Johnson,6.11,240lb
Erik Murphy,6.1,238lb
Georges Niang,6.8,230lb
Darius Songaila,6.9,248lb
Ryan Hollins,7,230lb
Goran Suton,6.1,245lb
Ryan Gomes,6.7,250lb
Kris Joseph,6.7,210lb
Jon Diebler,6.6,205lb
Shan Foster,6.6,205lb
Corey Brewer,6.9,185lb
JamesOn Curry,6.3,190lb
Kyle Korver,6.7,210lb
Jack McClinton,6.1,185lb
Ben Bentil,6.8,230lb
Tyler Harvey,6.4,185lb
Lawrence Funderburke,6.9,230lb
Matt Steigenga,6.7,225lb
Guillermo Diaz Graham,7,205lb
Darnell Jackson,6.9,253lb
Fred Hoiberg,6.4,203lb
Taurean Green,6,177lb
DeJuan Wheat,6,165lb
Andre Hutson,6.8,240lb
A.J. Price,6.2,181lb
Mark Pope,6.1,235lb
Marcus Taylor,6.3,195lb
Luke Harangody,6.8,246lb
Anthony Jones,6.6,195lb
Lorenzo Brown,6.5,186lb
Vernon Macklin,6.9,245lb
Demetris Nichols,6.8,216lb
Rasual Butler,6.7,205lb
Rodney Buford,6.5,189lb
DeAndre Liggins,6.6,210lb
Romain Sato,6.5,205lb
Sir'Dominic Pointer,6.6,192lb
Jarron Collins,6.11,255lb
Dijon Thompson,6.7,195lb
Robert Vaden,6.5,205lb
Willie Warren,6.4,199lb
Matt Freije,6.1,240lb
Sean Higgins,6.9,205lb
Kenny Satterfield,6.2,186lb
Kay Felder,5.9,180lb
Hassan Adams,6.4,220lb
Marcus Paige,6.1,175lb
Ryan Bowen,6.7,215lb
Lawrence Roberts III,6.9,240lb
Chris Porter,6.7,218lb
Darius Johnson-Odom,6.2,215lb
Rickey Paulding,6.5,218lb
