name,season,school,conf,class,G,GS,MP_per,FG_per,FGA_per,FG%_per,2P_per,2PA_per,2P%_per,3P_per,3PA_per,3P%_per,FT_per,FTA_per,FT%_per,ORB_per,DRB_per,TRB_per,AST_per,STL_per,BLK_per,TOV_per,PF_per,PTS_per,SOS
Allen Crabbe,2011-12,California,Pac-12,SO,34,33,34.1,5.3,12.2,0.431,2.8,6.1,0.464,2.4,6.1,0.399,2.2,2.6,0.843,0.9,4.8,5.7,2.1,0.5,0.6,1.6,1.4,15.2,4.53
Allen Crabbe,2012-13,California,Pac-12,JR,33,33,36.2,6.5,14.2,0.459,4.6,8.6,0.532,1.9,5.6,0.348,3.4,4.2,0.813,1,5.1,6.1,2.6,1.1,0.7,2.5,2.1,18.4,7.71
Allen Crabbe,Career,California,,,98,97,34.7,5.4,12.2,0.446,3.3,6.6,0.5,2.1,5.6,0.382,2.7,3.3,0.819,0.9,4.8,5.7,2.2,0.9,0.6,1.9,1.7,15.7,7.14
Carl Landry,2004-05,Purdue,Big Ten,JR,25,25,30.3,6.4,10.4,0.618,6.2,9.6,0.647,0.2,0.7,0.222,5.3,7.8,0.677,3.4,3.8,7.1,1.2,0.8,0.7,2.6,3,18.2,11.08
Carl Landry,2005-06,Purdue,Big Ten,SR,5,4,24.6,4.8,8.6,0.558,4.4,7.4,0.595,0.4,1.2,0.333,5.2,6.2,0.839,1.8,3.4,5.2,1,0.8,0.4,3.4,3.4,15.2,6.61
Carl Landry,2006-07,Purdue,Big Ten,SR,34,34,30.4,6.4,10.8,0.597,6.3,10.2,0.618,0.1,0.6,0.211,5.9,8.1,0.726,3,4.4,7.3,1.2,1.2,0.9,3,2.9,18.9,8.89
Carl Landry,Career,Purdue,,,64,63,29.9,6.3,10.5,0.602,6.1,9.8,0.628,0.2,0.7,0.233,5.6,7.9,0.714,3,4,7.1,1.2,1,0.8,2.9,3,18.4,8.86
Deyonta Davis,2015-16,Michigan State,Big Ten,FR,35,16,18.6,3.4,5.7,0.598,3.4,5.7,0.598,0,0,,0.7,1.1,0.605,2.1,3.4,5.5,0.7,0.3,1.8,0.9,2.3,7.5,6.94
Deyonta Davis,Career,Michigan State,,,35,16,18.6,3.4,5.7,0.598,3.4,5.7,0.598,0,0,,0.7,1.1,0.605,2.1,3.4,5.5,0.7,0.3,1.8,0.9,2.3,7.5,6.94
Ruben Patterson,1996-97,Cincinnati,CUSA,JR,31,26,23.3,5.3,9.6,0.548,4.9,8.4,0.588,0.4,1.3,0.282,2.8,4.6,0.604,,,5.6,1.4,1.1,0.3,2.2,2,13.7,5.51
Ruben Patterson,1997-98,Cincinnati,CUSA,SR,19,14,27.9,5.7,12.2,0.472,4.8,8.6,0.555,0.9,3.5,0.269,4.1,6.7,0.602,,,6.3,2.2,1.2,0.6,3.5,2.5,16.5,4.97
Ruben Patterson,Career,Cincinnati,,,50,40,25.1,5.5,10.6,0.515,4.9,8.5,0.575,0.6,2.1,0.274,3.3,5.4,0.603,,,5.9,1.7,1.1,0.4,2.7,2.2,14.8,5.24
Roger Mason Jr,1999-00,Virginia,ACC,FR,31,11,21.3,2.6,6,0.43,2.1,4.4,0.482,0.5,1.6,0.286,2,2.5,0.818,,,2.2,1.3,1,0.2,1.4,2.2,7.6,6.22
