name,season,school,conf,class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Omar Cook,Career,St. John's (NY),,,29,29,1107,141,392,0.36,73,172,0.424,68,220,0.309,95,128,0.742,18,70,88,252,66,5,148,82,445
A.J. Guyton,1996-97,Indiana,Big Ten,FR,33,29,1107,157,361,0.435,101,216,0.468,56,145,0.386,80,94,0.851,,,110,129,40,17,71,42,450
A.J. Guyton,1997-98,Indiana,Big Ten,SO,32,30,1088,188,402,0.468,109,222,0.491,79,180,0.439,82,107,0.766,,,112,118,38,8,79,60,537
A.J. Guyton,1998-99,Indiana,Big Ten,JR,34,34,1158,198,435,0.455,122,248,0.492,76,187,0.406,71,94,0.755,,,117,88,22,14,78,42,543
A.J. Guyton,1999-00,Indiana,Big Ten,SR,29,29,995,204,444,0.459,132,272,0.485,72,172,0.419,90,114,0.789,,,90,68,29,13,69,27,570
A.J. Guyton,Career,Indiana,,,128,122,4348,747,1642,0.455,464,958,0.484,283,684,0.414,323,409,0.79,,,429,403,129,52,297,171,2100
Alphonso Ford,1989-90,Mississippi Valley State,SWAC,FR,27,,859,289,656,0.441,185,368,0.503,104,288,0.361,126,171,0.737,,,133,50,41,5,67,89,808
Alphonso Ford,1990-91,Mississippi Valley State,SWAC,SO,28,27,934,325,668,0.487,239,408,0.586,86,260,0.331,179,234,0.765,98,69,167,38,61,3,74,81,915
Alphonso Ford,1991-92,Mississippi Valley State,SWAC,JR,26,,864,255,567,0.45,188,346,0.543,67,221,0.303,137,181,0.757,,,145,96,64,10,75,68,714
Alphonso Ford,1992-93,Mississippi Valley State,SWAC,SR,28,,916,252,578,0.436,176,362,0.486,76,216,0.352,148,187,0.791,,,147,108,54,10,88,68,728
Alphonso Ford,Career,Mississippi Valley State,,,109,27,3573,1121,2469,0.454,788,1484,0.531,333,985,0.338,590,773,0.763,98,69,592,292,220,28,304,306,3165
Luke Walton,1999-00,Arizona,Pac-10,FR,34,19,868,65,184,0.353,54,129,0.419,11,55,0.2,52,73,0.712,,,138,131,36,21,79,65,193
Luke Walton,2000-01,Arizona,Pac-10,SO,36,6,736,74,176,0.42,65,135,0.481,9,41,0.22,41,61,0.672,55,85,140,115,39,11,61,54,198
Luke Walton,2001-02,Arizona,Pac-10,JR,31,31,1138,174,370,0.47,157,310,0.506,17,60,0.283,122,179,0.682,57,170,227,194,50,19,118,61,487
Luke Walton,2002-03,Arizona,Pac-10,SR,28,28,772,107,255,0.42,79,182,0.434,28,73,0.384,59,87,0.678,40,117,157,142,26,7,78,56,301
Luke Walton,Career,Arizona,,,129,84,3514,420,985,0.426,355,756,0.47,65,229,0.284,274,400,0.685,152,372,662,582,151,58,336,236,1179
K.J. McDaniels,2011-12,Clemson,ACC,FR,30,1,304,44,97,0.454,37,72,0.514,7,25,0.28,22,38,0.579,34,21,55,7,10,20,13,26,117
K.J. McDaniels,2012-13,Clemson,ACC,SO,28,25,771,109,252,0.433,77,156,0.494,32,96,0.333,54,79,0.684,50,90,140,21,32,58,44,62,304
K.J. McDaniels,2013-14,Clemson,ACC,JR,36,35,1212,209,455,0.459,167,317,0.527,42,138,0.304,154,183,0.842,86,169,255,57,41,100,83,80,614
K.J. McDaniels,Career,Clemson,,,94,61,2287,362,804,0.45,281,545,0.516,81,259,0.313,230,300,0.767,170,280,450,85,83,178,140,168,1035
Brian Oliver,1986-87,Georgia Tech,ACC,FR,29,15,879,72,158,0.456,65,140,0.464,7,18,0.389,54,75,0.72,,,91,92,26,3,62,63,205
Brian Oliver,1987-88,Georgia Tech,ACC,SO,32,32,1106,157,310,0.506,144,272,0.529,13,38,0.342,76,102,0.745,,,139,112,42,0,69,91,403
Brian Oliver,1988-89,Georgia Tech,ACC,JR,32,32,1163,191,345,0.554,163,275,0.593,28,70,0.4,106,135,0.785,,,179,223,44,1,95,89,516
Brian Oliver,1989-90,Georgia Tech,ACC,SR,34,34,1277,260,504,0.516,203,357,0.569,57,147,0.388,147,204,0.721,,,204,111,28,5,97,89,724
Brian Oliver,Career,Georgia Tech,,,127,113,4425,680,1317,0.516,575,1044,0.551,105,273,0.385,383,516,0.742,,,613,538,140,9,323,332,1848
Jelani McCoy,1995-96,UCLA,Pac-10,FR,31,31,921,138,204,0.676,138,204,0.676,0,0,,40,92,0.435,,,241,28,18,102,62,76,316
Jelani McCoy,1996-97,UCLA,Pac-10,SO,32,28,846,152,201,0.756,152,201,0.756,0,0,,45,101,0.446,,,207,48,19,61,86,85,349
Jelani McCoy,1997-98,UCLA,Pac-10,JR,15,0,319,57,95,0.6,57,95,0.6,0,0,,35,67,0.522,,,107,13,7,25,34,30,149
Jelani McCoy,Career,UCLA,,,78,59,2086,347,500,0.694,347,500,0.694,0,0,,120,260,0.462,,,555,89,44,188,182,191,814
Joe Harris ,2010-11,Virginia,ACC,FR,31,25,910,107,256,0.418,42,100,0.42,65,156,0.417,44,58,0.759,35,100,135,39,27,11,49,69,323
Joe Harris ,2011-12,Virginia,ACC,SO,32,31,969,121,274,0.442,72,145,0.497,49,129,0.38,71,92,0.772,29,95,124,55,23,12,46,68,362
Joe Harris ,2012-13,Virginia,ACC,JR,35,35,1139,191,408,0.468,114,227,0.502,77,181,0.425,111,150,0.74,30,111,141,76,31,17,70,82,570
Joe Harris ,2013-14,Virginia,ACC,SR,37,37,1066,149,338,0.441,77,158,0.487,72,180,0.4,73,114,0.64,22,87,109,84,35,8,48,88,443
Joe Harris ,Career,Virginia,,,135,128,4084,568,1276,0.445,305,630,0.484,263,646,0.407,299,414,0.722,116,393,509,254,116,48,213,307,1698
Joey Dorsey,2004-05,Memphis,CUSA,FR,37,7,557,65,119,0.546,65,119,0.546,0,0,,39,91,0.429,92,130,222,17,22,43,49,113,169
Joey Dorsey,2005-06,Memphis,CUSA,SO,37,35,782,106,168,0.631,106,168,0.631,0,0,,42,107,0.393,115,163,278,31,44,66,43,137,254
Joey Dorsey,2006-07,Memphis,CUSA,JR,37,37,934,121,197,0.614,121,197,0.614,0,0,,71,152,0.467,162,185,347,13,53,81,63,106,313
Joey Dorsey,2007-08,Memphis,CUSA,SR,38,33,958,108,167,0.647,108,167,0.647,0,0,,45,119,0.378,134,228,362,20,41,74,41,107,261
Joey Dorsey,Career,Memphis,,,149,112,3231,400,651,0.614,400,651,0.614,0,0,,197,469,0.42,503,706,1209,81,160,264,196,463,997
Chris Herren,1994-95,Boston College,Big East,FR,1,0,21,3,4,0.75,3,4,0.75,0,0,,8,8,1,,,2,6,3,0,3,0,14
Chris Herren,1996-97,Fresno State,WAC,SO,32,21,971,194,408,0.475,126,220,0.573,68,188,0.362,104,159,0.654,,,74,146,59,4,93,103,560
Chris Herren,1997-98,Fresno State,WAC,JR,29,,954,162,347,0.467,108,198,0.545,54,149,0.362,75,133,0.564,,,67,138,54,1,69,75,453
Chris Herren,1998-99,Fresno State,WAC,SR,25,,685,91,223,0.408,47,108,0.435,44,115,0.383,58,85,0.682,,,41,181,25,1,69,25,284
Chris Herren,Career,Overall,,,87,21,2631,450,982,0.458,284,530,0.536,166,452,0.367,245,385,0.636,,,184,471,141,6,234,203,1311
Chris Herren,,Boston College,,,1,0,21,3,4,0.75,3,4,0.75,0,0,,8,8,1,,,2,6,3,0,3,0,14
Chris Herren,,Fresno State,,,86,21,2610,447,978,0.457,281,526,0.534,166,452,0.367,237,377,0.629,,,182,465,138,6,231,203,1297
Eric Riley,1989-90,Michigan,Big Ten,FR,31,0,403,34,56,0.607,34,55,0.618,0,1,0,16,35,0.457,,,102,15,9,40,27,84,84
Eric Riley,1990-91,Michigan,Big Ten,SO,28,26,854,105,235,0.447,105,234,0.449,0,1,0,87,115,0.757,,,242,29,20,78,76,108,297
Eric Riley,1991-92,Michigan,Big Ten,JR,32,3,480,82,139,0.59,82,139,0.59,0,0,,37,64,0.578,,,139,21,7,19,50,84,201
Eric Riley,1992-93,Michigan,Big Ten,SR,35,0,528,78,133,0.586,78,132,0.591,0,1,0,39,53,0.736,63,106,169,14,15,31,37,82,195
Eric Riley,Career,Michigan,,,126,29,2265,299,563,0.531,299,560,0.534,0,3,0,179,267,0.67,63,106,652,79,51,168,190,358,777
Vincent Yarbrough,1998-99,Tennessee,SEC,FR,30,28,705,83,199,0.417,60,115,0.522,23,84,0.274,40,57,0.702,,,156,42,43,29,48,54,229
Vincent Yarbrough,1999-00,Tennessee,SEC,SO,33,33,1010,172,368,0.467,119,220,0.541,53,148,0.358,92,125,0.736,,,228,81,55,33,68,60,489
Vincent Yarbrough,2000-01,Tennessee,SEC,JR,33,33,1047,164,370,0.443,121,243,0.498,43,127,0.339,88,138,0.638,70,174,244,83,55,44,74,66,459
Vincent Yarbrough,2001-02,Tennessee,SEC,SR,31,31,1097,194,457,0.425,134,290,0.462,60,167,0.359,112,163,0.687,70,164,234,87,58,25,93,60,560
Vincent Yarbrough,Career,Tennessee,,,127,125,3859,613,1394,0.44,434,868,0.5,179,526,0.34,332,483,0.687,140,338,862,293,211,131,283,240,1737
Kyle Singler,2007-08,Duke,ACC,FR,34,34,972,159,348,0.457,108,198,0.545,51,150,0.34,82,106,0.774,70,128,198,48,36,25,75,104,451
Kyle Singler,2008-09,Duke,ACC,SO,37,36,1193,208,472,0.441,139,292,0.476,69,180,0.383,124,174,0.713,112,172,284,89,57,38,92,99,609
Kyle Singler,2009-10,Duke,ACC,JR,40,40,1436,228,550,0.415,143,337,0.424,85,213,0.399,166,208,0.798,90,190,280,96,41,32,79,86,707
Kyle Singler,2010-11,Duke,ACC,SR,37,37,1286,219,509,0.43,157,316,0.497,62,193,0.321,125,155,0.806,88,165,253,60,34,12,70,98,625
Kyle Singler,Career,Duke,,,148,147,4887,814,1879,0.433,547,1143,0.479,267,736,0.363,497,643,0.773,360,655,1015,293,168,107,316,387,2392
Jake Voskuhl,1996-97,UConn,Big East,FR,33,30,678,48,99,0.485,48,99,0.485,0,0,,36,57,0.632,,,181,20,23,46,37,110,132
Jake Voskuhl,1997-98,UConn,Big East,SO,37,37,877,100,177,0.565,100,177,0.565,0,0,,56,83,0.675,,,262,27,25,49,66,128,256
Jake Voskuhl,1998-99,UConn,Big East,JR,34,34,728,66,129,0.512,66,129,0.512,0,0,,54,87,0.621,,,218,38,20,51,61,106,186
Jake Voskuhl,1999-00,UConn,Big East,SR,34,34,778,109,191,0.571,109,191,0.571,0,0,,71,104,0.683,,,219,39,18,47,62,93,289
Jake Voskuhl,Career,UConn,,,138,135,3061,323,596,0.542,323,596,0.542,0,0,,217,331,0.656,,,880,124,86,193,226,437,863
Marcus Williams,2003-04,UConn,Big East,FR,16,0,226,17,46,0.37,14,29,0.483,3,17,0.176,9,13,0.692,6,15,21,69,16,1,38,28,46
Marcus Williams,2004-05,UConn,Big East,SO,31,31,961,103,255,0.404,76,188,0.404,27,67,0.403,64,89,0.719,24,93,117,243,35,8,101,53,297
Marcus Williams,2005-06,UConn,Big East,JR,23,20,767,83,204,0.407,59,144,0.41,24,60,0.4,94,109,0.862,18,71,89,198,21,5,85,38,284
Marcus Williams,Career,UConn,,,70,51,1954,203,505,0.402,149,361,0.413,54,144,0.375,167,211,0.791,48,179,227,510,72,14,224,119,627
Dante Cunningham,2005-06,Villanova,Big East,FR,33,4,629,29,62,0.468,29,62,0.468,0,0,,13,33,0.394,59,73,132,25,27,19,26,78,71
Dante Cunningham,2006-07,Villanova,Big East,SO,33,27,902,99,193,0.513,98,192,0.51,1,1,1,88,113,0.779,86,91,177,24,42,20,56,96,287
Dante Cunningham,2007-08,Villanova,Big East,JR,35,35,1050,142,261,0.544,142,261,0.544,0,0,,80,116,0.69,100,126,226,37,46,31,80,107,364
Dante Cunningham,2008-09,Villanova,Big East,SR,38,38,1199,244,465,0.525,244,463,0.527,0,2,0,124,178,0.697,99,185,284,47,47,47,82,103,612
Dante Cunningham,Career,Villanova,,,139,104,3780,514,981,0.524,513,978,0.525,1,3,0.333,305,440,0.693,344,475,819,133,162,117,244,384,1334
Junior Burrough,1991-92,Virginia,ACC,FR,33,32,996,166,372,0.446,166,371,0.447,0,1,0,105,151,0.695,,,192,8,18,15,59,82,437
Junior Burrough,1992-93,Virginia,ACC,SO,31,31,887,178,406,0.438,178,402,0.443,0,4,0,97,152,0.638,,,224,20,33,27,71,86,453
Junior Burrough,1993-94,Virginia,ACC,JR,31,29,977,179,442,0.405,167,405,0.412,12,37,0.324,95,149,0.638,,,218,29,28,28,75,88,465
Junior Burrough,1994-95,Virginia,ACC,SR,34,33,1079,236,471,0.501,235,467,0.503,1,4,0.25,142,200,0.71,,,295,55,32,26,74,83,615
Junior Burrough,Career,Virginia,,,129,125,3939,759,1691,0.449,746,1645,0.453,13,46,0.283,439,652,0.673,,,929,112,111,96,279,339,1970
Cheick Diallo,2015-16,Kansas,Big 12,FR,27,1,202,33,58,0.569,33,58,0.569,0,0,,15,27,0.556,17,51,68,1,7,23,17,38,81
Cheick Diallo,Career,Kansas,,,27,1,202,33,58,0.569,33,58,0.569,0,0,,15,27,0.556,17,51,68,1,7,23,17,38,81
Jay Edwards,1987-88,Indiana,Big Ten,FR,23,15,598,115,256,0.449,56,146,0.384,59,110,0.536,69,76,0.908,,,51,74,17,6,44,56,358
Jay Edwards,1988-89,Indiana,Big Ten,SO,34,33,1122,218,460,0.474,137,279,0.491,81,181,0.448,163,198,0.823,,,146,125,38,27,103,92,680
Jay Edwards,Career,Indiana,,,57,48,1720,333,716,0.465,193,425,0.454,140,291,0.481,232,274,0.847,,,197,199,55,33,147,148,1038
Hassan Whiteside,2009-10,Marshall,CUSA,FR,34,23,889,167,319,0.524,164,314,0.522,3,5,0.6,110,187,0.588,92,211,303,10,19,182,64,82,447
Hassan Whiteside,Career,Marshall,,,34,23,889,167,319,0.524,164,314,0.522,3,5,0.6,110,187,0.588,92,211,303,10,19,182,64,82,447
Jae Crowder,2010-11,Marquette,Big East,JR,37,17,1021,158,326,0.485,116,209,0.555,42,117,0.359,77,125,0.616,83,168,251,58,48,32,30,85,435
Jae Crowder,2011-12,Marquette,Big East,SR,35,35,1153,217,436,0.498,156,259,0.602,61,177,0.345,119,162,0.735,70,224,294,73,88,35,44,93,614
Jae Crowder,Career,Marquette,,,72,52,2174,375,762,0.492,272,468,0.581,103,294,0.35,196,287,0.683,153,392,545,131,136,67,74,178,1049
Anthony Brown,2010-11,Stanford,Pac-10,FR,30,11,718,90,216,0.417,48,97,0.495,42,119,0.353,39,55,0.709,31,66,97,23,16,7,32,40,261
Anthony Brown,2011-12,Stanford,Pac-12,SO,37,21,886,106,268,0.396,64,148,0.432,42,120,0.35,45,72,0.625,32,117,149,38,23,4,49,65,299
Anthony Brown,2012-13,Stanford,Pac-12,JR,4,2,70,4,20,0.2,2,14,0.143,2,6,0.333,2,2,1,1,8,9,1,1,1,5,7,12
Anthony Brown,2013-14,Stanford,Pac-12,JR,36,35,1206,142,299,0.475,89,182,0.489,53,117,0.453,106,135,0.785,33,147,180,75,31,4,70,67,443
Anthony Brown,2014-15,Stanford,Pac-12,SR,37,36,1320,176,408,0.431,97,229,0.424,79,179,0.441,116,146,0.795,42,214,256,94,28,7,72,78,547
Anthony Brown,Career,Stanford,,,144,105,4200,518,1211,0.428,300,670,0.448,218,541,0.403,308,410,0.751,139,552,691,231,99,23,228,257,1562
Lionel Chalmers Jr,2000-01,Xavier,A-10,FR,29,8,735,85,233,0.365,47,107,0.439,38,126,0.302,51,76,0.671,13,50,63,55,39,2,60,52,259
Lionel Chalmers Jr,2001-02,Xavier,A-10,SO,32,32,1090,125,297,0.421,78,163,0.479,47,134,0.351,87,121,0.719,15,94,109,134,47,3,107,78,384
Lionel Chalmers Jr,2002-03,Xavier,A-10,JR,25,22,779,98,221,0.443,49,96,0.51,49,125,0.392,54,70,0.771,16,51,67,99,28,1,66,57,299
Lionel Chalmers Jr,2003-04,Xavier,A-10,SR,37,37,1293,204,454,0.449,103,207,0.498,101,247,0.409,105,148,0.709,17,105,122,117,40,1,103,78,614
Lionel Chalmers Jr,Career,Xavier,,,123,99,3897,512,1205,0.425,277,573,0.483,235,632,0.372,297,415,0.716,61,300,361,405,154,7,336,265,1556
Chris Smith,1988-89,UConn,Big East,FR,29,21,829,111,274,0.405,71,170,0.418,40,104,0.385,26,46,0.565,,,82,87,39,6,40,72,288
Chris Smith,1989-90,UConn,Big East,SO,37,37,1221,207,496,0.417,132,305,0.433,75,191,0.393,146,180,0.811,,,92,132,63,7,82,87,635
Chris Smith,1990-91,UConn,Big East,JR,31,31,1130,208,474,0.439,162,357,0.454,46,117,0.393,123,171,0.719,,,90,105,55,15,81,63,585
Chris Smith,1991-92,UConn,Big East,SR,30,30,1090,202,487,0.415,121,294,0.412,81,193,0.42,152,190,0.8,,,98,112,36,15,83,54,637
Chris Smith,Career,UConn,,,127,119,4270,728,1731,0.421,486,1126,0.432,242,605,0.4,447,587,0.761,,,362,436,193,43,286,276,2145
Kevin Pritchard,1986-87,Kansas,Big 8,FR,36,30,962,124,294,0.422,88,206,0.427,36,88,0.409,41,54,0.759,,,77,74,32,4,51,92,345
Kevin Pritchard,1987-88,Kansas,Big 8,SO,37,36,1100,144,296,0.486,127,242,0.525,17,54,0.315,88,119,0.739,,,95,113,52,7,84,100,393
Kevin Pritchard,1988-89,Kansas,Big 8,JR,31,28,944,155,306,0.507,100,177,0.565,55,129,0.426,83,108,0.769,,,76,136,47,8,69,82,448
Kevin Pritchard,1989-90,Kansas,Big 8,SR,35,35,976,177,337,0.525,131,229,0.572,46,108,0.426,106,130,0.815,,,89,177,59,9,91,84,506
Kevin Pritchard,Career,Kansas,,,139,129,3982,600,1233,0.487,446,854,0.522,154,379,0.406,318,411,0.774,,,337,500,190,28,295,358,1692
Mario Chalmers,2005-06,Kansas,Big 12,FR,33,21,859,121,272,0.445,73,144,0.507,48,128,0.375,89,113,0.788,8,66,74,127,89,5,93,75,379
Mario Chalmers,2006-07,Kansas,Big 12,SO,38,37,1108,159,324,0.491,100,178,0.562,59,146,0.404,87,113,0.77,11,104,115,124,97,16,91,95,464
Mario Chalmers,2007-08,Kansas,Big 12,JR,39,38,1170,164,318,0.516,91,162,0.562,73,156,0.468,97,130,0.746,14,106,120,169,97,23,75,99,498
Mario Chalmers,Career,Kansas,,,110,96,3137,444,914,0.486,264,484,0.545,180,430,0.419,273,356,0.767,33,276,309,420,283,44,259,269,1341
Terence Morris,1997-98,Maryland,ACC,FR,32,0,512,91,174,0.523,78,137,0.569,13,37,0.351,41,59,0.695,,,113,25,27,29,46,57,236
Terence Morris,1998-99,Maryland,ACC,SO,34,34,999,195,354,0.551,168,278,0.604,27,76,0.355,104,126,0.825,,,242,56,50,77,67,79,521
Terence Morris,1999-00,Maryland,ACC,JR,34,34,1103,200,406,0.493,165,310,0.532,35,96,0.365,102,134,0.761,,,293,80,53,71,97,89,537
Terence Morris,2000-01,Maryland,ACC,SR,36,36,993,158,366,0.432,132,276,0.478,26,90,0.289,97,122,0.795,91,186,277,68,32,79,64,94,439
Terence Morris,Career,Maryland,,,136,104,3607,644,1300,0.495,543,1001,0.542,101,299,0.338,344,441,0.78,91,186,925,229,162,256,274,319,1733
Paul Davis,2002-03,Michigan State,Big Ten,FR,35,5,623,88,201,0.438,87,195,0.446,1,6,0.167,97,147,0.66,40,125,165,15,33,19,51,75,274
Paul Davis,2003-04,Michigan State,Big Ten,SO,30,30,847,163,287,0.568,158,272,0.581,5,15,0.333,143,179,0.799,62,125,187,59,44,19,74,87,474
Paul Davis,2004-05,Michigan State,Big Ten,JR,32,29,861,157,290,0.541,156,282,0.553,1,8,0.125,77,115,0.67,88,169,257,50,35,20,64,79,392
Paul Davis,2005-06,Michigan State,Big Ten,SR,33,33,1018,206,364,0.566,200,345,0.58,6,19,0.316,160,184,0.87,87,214,301,54,34,29,81,103,578
Paul Davis,Career,Michigan State,,,130,97,3349,614,1142,0.538,601,1094,0.549,13,48,0.271,477,625,0.763,277,633,910,178,146,87,270,344,1718
Tyler Ulis,2014-15,Kentucky,SEC,FR,37,0,882,67,165,0.406,34,88,0.386,33,77,0.429,42,52,0.808,16,51,67,135,37,2,38,56,209
Tyler Ulis,2015-16,Kentucky,SEC,SO,35,35,1288,192,442,0.434,137,282,0.486,55,160,0.344,167,195,0.856,19,86,105,246,51,4,69,64,606
Tyler Ulis,Career,Kentucky,,,72,35,2170,259,607,0.427,171,370,0.462,88,237,0.371,209,247,0.846,35,137,172,381,88,6,107,120,815
Isaiah Canaan,2009-10,Murray State,OVC,FR,36,0,733,121,243,0.498,67,131,0.511,54,112,0.482,77,99,0.778,12,69,81,56,31,1,60,69,373
Isaiah Canaan,2010-11,Murray State,OVC,SO,32,20,900,112,269,0.416,54,125,0.432,58,144,0.403,93,125,0.744,15,46,61,76,34,3,64,58,375
Isaiah Canaan,2011-12,Murray State,OVC,JR,33,33,1112,187,400,0.468,89,185,0.481,98,215,0.456,154,184,0.837,27,87,114,120,45,2,89,56,626
Isaiah Canaan,2012-13,Murray State,OVC,SR,31,30,1131,215,499,0.431,121,245,0.494,94,254,0.37,152,185,0.822,19,91,110,133,47,4,98,58,676
Isaiah Canaan,Career,Murray State,,,132,83,3876,635,1411,0.45,331,686,0.483,304,725,0.419,476,593,0.803,73,293,366,385,157,10,311,241,2050
Nick Fazekas,2003-04,Nevada,WAC,FR,34,22,915,162,307,0.528,138,240,0.575,24,67,0.358,81,105,0.771,74,183,257,16,18,44,32,70,429
Nick Fazekas,2004-05,Nevada,WAC,SO,32,32,1009,223,444,0.502,190,343,0.554,33,101,0.327,183,232,0.789,61,240,301,30,20,51,70,56,662
Nick Fazekas,2005-06,Nevada,WAC,JR,33,33,1051,268,507,0.529,237,400,0.593,31,107,0.29,154,182,0.846,100,242,342,68,36,49,59,59,721
Nick Fazekas,2006-07,Nevada,WAC,SR,32,32,969,248,437,0.568,220,372,0.591,28,65,0.431,128,151,0.848,95,259,354,56,24,48,64,74,652
Nick Fazekas,Career,Nevada,,,131,119,3944,901,1695,0.532,785,1355,0.579,116,340,0.341,546,670,0.815,330,924,1254,170,98,192,225,259,2464
Khalid El-Amin,1997-98,UConn,Big East,FR,37,36,1106,211,498,0.424,130,276,0.471,81,222,0.365,90,113,0.796,,,108,156,68,5,100,68,593
Khalid El-Amin,1998-99,UConn,Big East,SO,36,35,1031,174,422,0.412,123,271,0.454,51,151,0.338,98,126,0.778,,,101,140,59,1,95,82,497
Khalid El-Amin,1999-00,UConn,Big East,JR,35,35,1118,195,475,0.411,132,298,0.443,63,177,0.356,107,120,0.892,,,110,183,59,4,93,73,560
Khalid El-Amin,Career,UConn,,,108,106,3255,580,1395,0.416,385,845,0.456,195,550,0.355,295,359,0.822,,,319,479,186,10,288,223,1650
Shammond Williams,1994-95,UNC,ACC,FR,29,0,132,12,31,0.387,6,11,0.545,6,20,0.3,18,21,0.857,,,12,20,7,0,22,9,48
Shammond Williams,1995-96,UNC,ACC,SO,32,3,663,84,186,0.452,38,70,0.543,46,116,0.397,53,69,0.768,,,82,65,15,0,58,46,267
Shammond Williams,1996-97,UNC,ACC,JR,35,32,1146,155,367,0.422,60,140,0.429,95,227,0.419,88,108,0.815,,,115,153,31,0,94,66,493
Shammond Williams,1997-98,UNC,ACC,SR,38,32,1250,209,428,0.488,123,213,0.577,86,215,0.4,133,146,0.911,,,123,161,39,2,98,45,637
Shammond Williams,Career,UNC,,,134,67,3191,460,1012,0.455,227,434,0.523,233,578,0.403,292,344,0.849,,,332,399,92,2,272,166,1445
Cleanthony Early,2012-13,Wichita State,MVC,JR,39,22,979,184,404,0.455,137,256,0.535,47,148,0.318,129,163,0.791,89,123,212,23,29,35,61,100,544
Cleanthony Early,2013-14,Wichita State,MVC,SR,36,36,986,187,386,0.484,121,209,0.579,66,177,0.373,151,179,0.844,48,165,213,27,29,28,70,83,591
Cleanthony Early,Career,Wichita State,,,75,58,1965,371,790,0.47,258,465,0.555,113,325,0.348,280,342,0.819,137,288,425,50,58,63,131,183,1135
Dan Gadzuric,1998-99,UCLA,Pac-10,FR,24,17,480,88,164,0.537,88,164,0.537,0,0,,31,62,0.5,,,136,17,27,30,38,68,207
Dan Gadzuric,1999-00,UCLA,Pac-10,SO,33,23,740,140,248,0.565,140,248,0.565,0,0,,39,101,0.386,,,136,17,21,52,60,87,319
Dan Gadzuric,2000-01,UCLA,Pac-10,JR,32,29,861,156,292,0.534,156,292,0.534,0,0,,63,139,0.453,98,177,275,18,22,60,66,98,375
Dan Gadzuric,2001-02,UCLA,Pac-10,SR,33,33,865,164,296,0.554,164,295,0.556,0,1,0,58,123,0.472,92,163,255,23,18,42,52,89,386
Dan Gadzuric,Career,UCLA,,,122,102,2946,548,1000,0.548,548,999,0.549,0,1,0,191,425,0.449,190,340,802,75,88,184,216,342,1287
Shelvin Mack,2008-09,Butler,Horizon,FR,32,32,982,122,312,0.391,65,137,0.474,57,175,0.326,81,107,0.757,41,101,142,111,36,1,67,69,382
Shelvin Mack,2009-10,Butler,Horizon,SO,38,38,1173,192,423,0.454,120,239,0.502,72,184,0.391,80,109,0.734,20,122,142,115,52,5,79,71,536
Shelvin Mack,2010-11,Butler,Horizon,JR,38,37,1219,201,493,0.408,114,247,0.462,87,246,0.354,120,156,0.769,27,143,170,131,30,3,93,66,609
Shelvin Mack,Career,Butler,,,108,107,3374,515,1228,0.419,299,623,0.48,216,605,0.357,281,372,0.755,88,366,454,357,118,9,239,206,1527
Greg Foster,1986-87,UCLA,Pac-10,FR,31,0,441,44,88,0.5,44,88,0.5,0,0,,13,26,0.5,,,76,25,5,24,25,61,101
Greg Foster,1987-88,UCLA,Pac-10,SO,11,11,292,39,74,0.527,39,74,0.527,0,0,,16,37,0.432,,,61,13,2,20,24,36,94
Greg Foster,1988-89,UTEP,WAC,JR,26,24,728,117,243,0.481,117,242,0.483,0,1,0,54,83,0.651,78,111,189,18,6,20,58,80,288
Greg Foster,1989-90,UTEP,WAC,SR,32,30,837,133,288,0.462,133,286,0.465,0,2,0,73,90,0.811,73,125,198,31,13,38,56,98,339
Greg Foster,Career,Overall,,,100,65,2298,333,693,0.481,333,690,0.483,0,3,0,156,236,0.661,151,236,524,87,26,102,163,275,822
Greg Foster,,UCLA,,,42,11,733,83,162,0.512,83,162,0.512,0,0,,29,63,0.46,,,137,38,7,44,49,97,195
Greg Foster,,UTEP,,,58,54,1565,250,531,0.471,250,528,0.473,0,3,0,127,173,0.734,151,236,387,49,19,58,114,178,627
Tony Bennett,1988-89,Green Bay,Mid-Cont,FR,27,27,930,179,343,0.522,132,236,0.559,47,107,0.439,111,131,0.847,,,54,138,49,1,62,72,516
Tony Bennett,1989-90,Green Bay,Mid-Cont,SO,30,29,1079,179,355,0.504,111,214,0.519,68,141,0.482,73,85,0.859,,,66,155,38,2,73,86,499
Tony Bennett,1990-91,Green Bay,Mid-Cont,JR,31,30,1118,229,419,0.547,149,269,0.554,80,150,0.533,127,152,0.836,,,73,154,38,2,65,81,665
Tony Bennett,1991-92,Green Bay,Mid-Cont,SR,30,28,995,205,384,0.534,110,198,0.556,95,186,0.511,100,121,0.826,,,86,154,36,7,77,50,605
Tony Bennett,Career,Green Bay,,,118,114,4122,792,1501,0.528,502,917,0.547,290,584,0.497,411,489,0.84,,,279,601,161,12,277,289,2285
Ed Stokes,1989-90,Arizona,Pac-10,FR,29,16,568,94,157,0.599,94,157,0.599,0,0,,44,78,0.564,,,132,7,15,49,44,68,232
Ed Stokes,1990-91,Arizona,Pac-10,SO,34,,590,79,168,0.47,79,168,0.47,0,0,,43,80,0.538,,,145,14,14,40,42,91,201
Ed Stokes,1991-92,Arizona,Pac-10,JR,30,10,642,90,174,0.517,90,174,0.517,0,0,,49,80,0.613,,,152,15,22,41,47,84,229
