name,season,school,conf,class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Chinanu Onuaku,2015-16,Louisville,ACC,SO,31,29,762,137,221,0.62,137,220,0.623,0,1,0,33,56,0.589,91,172,263,51,24,62,65,92,307
Chinanu Onuaku,Career,Louisville,,,66,55,1385,182,294,0.619,182,293,0.621,0,1,0,47,86,0.547,160,263,423,70,50,104,109,175,411
Richaun Holmes,2012-13,Bowling Green State,MAC,SO,32,2,602,88,139,0.633,88,137,0.642,0,2,0,31,50,0.62,76,83,159,7,17,73,25,66,207
Richaun Holmes,2013-14,Bowling Green State,MAC,JR,32,31,1024,150,296,0.507,138,256,0.539,12,40,0.3,113,160,0.706,86,159,245,29,36,88,58,90,425
Richaun Holmes,2014-15,Bowling Green State,MAC,SR,31,30,892,165,293,0.563,147,250,0.588,18,43,0.419,109,153,0.712,88,160,248,26,22,83,60,77,457
Richaun Holmes,Career,Bowling Green State,,,95,63,2518,403,728,0.554,373,643,0.58,30,85,0.353,253,363,0.697,250,402,652,62,75,244,143,233,1089
Tony Mitchell,2009-10,Alabama,SEC,FR,30,18,698,113,232,0.487,98,175,0.56,15,57,0.263,34,58,0.586,67,110,177,17,40,21,20,57,275
Tony Mitchell,2010-11,Alabama,SEC,SO,37,32,1167,228,437,0.522,197,339,0.581,31,98,0.316,77,117,0.658,97,164,261,49,59,41,64,89,564
Tony Mitchell,2011-12,Alabama,SEC,JR,22,21,684,117,260,0.45,94,186,0.505,23,74,0.311,32,52,0.615,37,118,155,40,22,31,41,61,289
Tony Mitchell,Career,Alabama,,,89,71,2549,458,929,0.493,389,700,0.556,69,229,0.301,143,227,0.63,201,392,593,106,121,93,125,207,1128
Trey Thompkins III,2008-09,Georgia,SEC,FR,28,23,729,134,309,0.434,101,223,0.453,33,86,0.384,53,73,0.726,58,148,206,22,27,31,68,48,354
Trey Thompkins III,2009-10,Georgia,SEC,SO,31,29,962,207,429,0.483,184,368,0.5,23,61,0.377,112,147,0.762,65,193,258,60,30,36,91,81,549
Trey Thompkins III,2010-11,Georgia,SEC,JR,30,29,937,194,403,0.481,171,329,0.52,23,74,0.311,82,119,0.689,56,173,229,42,33,50,76,67,493
Trey Thompkins III,Career,Georgia,,,89,81,2628,535,1141,0.469,456,920,0.496,79,221,0.357,247,339,0.729,179,514,693,124,90,117,235,196,1396
Quincy Acy,2008-09,Baylor,Big 12,FR,34,10,558,72,110,0.655,72,110,0.655,0,0,,41,72,0.569,49,75,124,9,21,34,33,75,185
Quincy Acy,2009-10,Baylor,Big 12,SO,36,0,840,136,195,0.697,136,195,0.697,0,0,,63,88,0.716,65,120,185,11,17,28,45,84,335
Quincy Acy,2010-11,Baylor,Big 12,JR,31,18,960,137,256,0.535,137,254,0.539,0,2,0,111,162,0.685,87,150,237,28,29,45,65,79,385
Quincy Acy,2011-12,Baylor,Big 12,SR,38,38,1130,158,274,0.577,155,269,0.576,3,5,0.6,136,174,0.782,99,183,282,38,35,70,71,117,455
Quincy Acy,Career,Baylor,,,139,66,3488,503,835,0.602,500,828,0.604,3,7,0.429,351,496,0.708,300,528,828,86,102,177,214,355,1360
Bobby Jones,1971-72,UNC,ACC,SO,31,,,127,190,0.668,62,95,0.653,195,75,,,,78,316,,,,,,,,
Bobby Jones,1972-73,UNC,ACC,JR,33,,,206,343,0.601,84,128,0.656,348,130,,,,89,496,,,,,,,,
Bobby Jones,1973-74,UNC,ACC,SR,28,,,189,326,0.58,74,120,0.617,274,80,,,,72,452,,,,,,,,
Conrad McRae,1989-90,Syracuse,Big East,FR,16,0,148,8,17,0.471,8,17,0.471,0,0,,15,24,0.625,,,32,4,4,16,2,28,31
Conrad McRae,1990-91,Syracuse,Big East,SO,32,0,517,57,105,0.543,57,103,0.553,0,2,0,46,74,0.622,,,135,14,22,42,21,81,160
Conrad McRae,1991-92,Syracuse,Big East,JR,28,11,824,87,161,0.54,87,160,0.544,0,1,0,69,121,0.57,,,174,24,41,69,26,109,243
Conrad McRae,1992-93,Syracuse,Big East,SR,28,19,839,130,232,0.56,129,229,0.563,1,3,0.333,83,137,0.606,,,192,13,33,76,43,90,344
Conrad McRae,Career,Syracuse,,,104,30,2328,282,515,0.548,281,509,0.552,1,6,0.167,213,356,0.598,,,533,55,100,203,92,308,778
Steve Hamer,1992-93,Tennessee,SEC,FR,26,19,553,74,136,0.544,74,136,0.544,0,0,,33,52,0.635,,,119,7,8,24,25,65,181
Steve Hamer,1993-94,Tennessee,SEC,SO,24,19,620,119,206,0.578,116,195,0.595,3,11,0.273,93,116,0.802,,,139,20,12,24,43,59,334
Steve Hamer,1994-95,Tennessee,SEC,JR,25,24,773,138,261,0.529,138,261,0.529,0,0,,98,153,0.641,,,220,14,6,35,65,66,374
Steve Hamer,1995-96,Tennessee,SEC,SR,29,29,956,187,325,0.575,187,325,0.575,0,0,,155,252,0.615,,,272,30,11,39,85,84,529
Steve Hamer,Career,Tennessee,,,104,91,2902,518,928,0.558,515,917,0.562,3,11,0.273,379,573,0.661,,,750,71,37,122,218,274,1418
Eduardo Najera,1996-97,Oklahoma,Big 12,FR,30,16,739,72,178,0.404,69,163,0.423,3,15,0.2,64,92,0.696,,,167,32,38,17,36,87,211
Eduardo Najera,1997-98,Oklahoma,Big 12,SO,30,20,855,119,280,0.425,106,231,0.459,13,49,0.265,64,101,0.634,,,163,42,37,20,56,93,315
Eduardo Najera,1998-99,Oklahoma,Big 12,JR,32,32,1100,187,451,0.415,136,302,0.45,51,149,0.342,70,109,0.642,,,266,69,59,27,83,87,495
