year,revenue
2001,90
2002,96
2003,110
2004,116
2005,134
2006,146
2007,154
2008,160
2009,155
2010,161
2011,160
2012,173
2013,187
2014,202
2015,208
2016,216
2017,210
2018,218
2019,225
2020,104
2021,208
2022,212
