year,attendance
2006,1.98
2007,1.92
2008,1.67
2009,1.41
2010,1.42
2011,1.48
2012,1.68
2013,1.81
2014,2
2015,1.77
2016,1.52
2017,1.48
2018,1.57
2019,1.66
2021,0.70
2022,0.79
