year,player_exp
2001,47
2002,54
2003,62
2004,74
2005,75
2006,80
2007,85
2008,77
2009,76
2010,75
2011,81
2012,73
2013,81
2014,102
2015,98
2016,108
2017,99
2018,87
2019,111
2020,48
2021,108
2022,70
