year,oper_inc
2002,6.60
2003,11.20
2004,5.90
2005,16
2006,14.50
2007,15.40
2008,26.20
2009,22.10
2010,23.20
2011,14.60
2012,27.50
2013,27.40
2014,20.80
2015,32.70
2016,25.50
2017,15
2018,33
2019,10
2020,-40
2021,-8.70
2022,29
