year,player_exp
2001,50
2002,55
2003,59
2004,74
2005,86
2006,90
2007,80
2008,86
2009,59
2010,51
2011,67
2012,80
2013,87
2014,102
2015,122
2016,143
2017,102
2018,124
2019,141
2020,90
2021,199
2022,243
