year,tick_price
2006,20.83
2007,22.13
2008,27.43
2009,20.01
2010,15.15
2011,15.45
2012,15.67
2013,15.99
2014,16.37
2015,16.37
2016,23.71
2018,21.78
2019,22.22
2020,22.11
2021,22.14
2022,27.44
