year,attendance
2006,2.66
2007,2.79
2008,2.43
2009,1.92
2010,2.13
2011,2.14
2012,2.12
2013,2.17
2014,2.20
2015,2.46
2016,2.35
2017,2.14
2018,2.15
2019,2.40
2021,2.19
2022,2.99
