year,revenue
2001,92
2002,98
2003,106
2004,150
2005,158
2006,160
2007,167
2008,174
2009,157
2010,159
2011,163
2012,189
2013,207
2014,224
2015,244
2016,259
2017,266
2018,277
2019,299
2020,114
2021,282
2022,324
