year,tick_price
2006,26.73
2007,27.25
2008,28.14
2009,31.10
2010,32.99
2011,36.29
2012,37.42
2013,37.42
2014,37.42
2015,37.42
2016,41.50
2018,36.04
2019,36.04
2020,36.04
2021,36.06
2022,36.06
