year,player_exp
2001,53
2002,70
2003,86
2004,106
2005,104
2006,108
2007,113
2008,128
2009,143
2010,150
2011,180
2012,184
2013,178
2014,198
2015,164
2016,126
2017,119
2018,120
2019,182
2020,93
2021,210
2022,255
