year,revenue
2001,94
2002,97
2003,115
2004,167
2005,176
2006,183
2007,192
2008,216
2009,233
2010,239
2011,249
2012,279
2013,265
2014,265
2015,263
2016,325
2017,329
2018,341
2019,392
2020,140
2021,323
2022,398
