year,oper_inc
2002,-11.90
2003,-12.50
2004,6.10
2005,14.70
2006,11.30
2007,14.30
2008,16.30
2009,14.50
2010,8.90
2011,-11.60
2012,0.60
2013,-20.90
2014,-39
2015,-8.90
2016,87.70
2017,91
2018,94
2019,73
2020,-67
2021,-17
2022,-3.70
