year,attendance
2006,2.77
2007,3.11
2008,3.42
2009,3.60
2010,3.65
2011,3.68
2012,3.57
2013,3.01
2014,2.42
2015,1.83
2016,1.92
2017,1.91
2018,2.16
2019,2.73
2021,1.52
2022,2.28
