year,tick_price
2006,17.09
2007,17.23
2008,17.23
2009,18.35
2010,19.75
2011,19.42
2012,19.83
2013,20.39
2014,21.01
2015,21.90
2016,21.04
2018,21.60
2019,22.53
2020,24.97
2021,23.21
2022,26.13
