year,oper_inc
2002,1.40
2003,7.50
2004,27.20
2005,20.30
2006,20.20
2007,29.70
2008,29.40
2009,15.70
2010,6.80
2011,26.20
2012,10
2013,15.30
2014,7.90
2015,8.20
2016,32.10
2017,23
2018,27
2019,68
2020,-23
2021,45
2022,9.50
