year,revenue
2001,92
2002,91
2003,101
2004,110
2005,116
2006,134
2007,138
2008,160
2009,156
2010,166
2011,161
2012,167
2013,181
2014,188
2015,193
2016,205
2017,219
2018,228
2019,264
2020,112
2021,252
2022,248
