year,attendance
2006,1.37
2007,1.39
2008,1.80
2009,1.87
2010,1.86
2011,1.53
2012,1.56
2013,1.51
2014,1.45
2015,1.25
2016,1.29
2017,1.25
2018,1.15
2019,1.18
2021,0.76
2022,1.13
