year,player_exp
2001,61
2002,49
2003,48
2004,37
2005,50
2006,57
2007,52
2008,67
2009,80
2010,88
2011,64
2012,81
2013,79
2014,94
2015,92
2016,80
2017,98
2018,104
2019,87
2020,42
2021,92
2022,119
