year,player_exp
2001,81
2002,88
2003,95
2004,106
2005,117
2006,115
2007,130
2008,140
2009,151
2010,157
2011,162
2012,137
2013,129
2014,111
2015,154
2016,189
2017,186
2018,195
2019,228
2020,100
2021,172
2022,174
