year,revenue
2001,131
2002,143
2003,156
2004,170
2005,179
2006,197
2007,214
2008,239
2009,246
2010,258
2011,266
2012,274
2013,266
2014,302
2015,340
2016,434
2017,457
2018,452
2019,471
2020,163
2021,425
2022,451
