year,attendance
2006,3.16
2007,3.25
2008,3.30
2009,3.21
2010,3.06
2011,3.02
2012,2.88
2013,2.64
2014,2.65
2015,2.96
2016,3.23
2017,3.20
2018,3.18
2019,3.09
2021,1.98
2022,2.62
