year,oper_inc
2002,11.90
2003,8.30
2004,11.40
2005,7.90
2006,22.20
2007,21.40
2008,29.70
2009,25.50
2010,23.40
2011,28.10
2012,32.10
2013,27.30
2014,73.30
2015,50.80
2016,83.80
2017,102
2018,87
2019,68
2020,-73
2021,68
2022,57
