year,player_exp
2001,95
2002,108
2003,106
2004,81
2005,73
2006,82
2007,88
2008,91
2009,95
2010,87
2011,122
2012,154
2013,161
2014,164
2015,181
2016,180
2017,171
2018,162
2019,146
2020,78
2021,118
2022,165
