year,tick_price
2006,15.81
2007,16.47
2008,18.01
2009,19.41
2010,20.65
2011,18.60
2012,20.49
2013,22.54
2014,23.54
2015,23.64
2016,23.64
2018,26.94
2019,25.75
2020,38.04
2021,38.04
2022,37.94
