year,oper_inc
2002,-24.50
2003,-28.50
2004,2.90
2005,24.70
2006,11.20
2007,17.20
2008,17.40
2009,4.70
2010,22.60
2011,15.30
2012,-8.70
2013,-4.90
2014,3.50
2015,-4.70
2016,18.60
2017,30
2018,39
2019,61
2020,-60
2021,97
2022,58
