year,revenue
2001,134
2002,131
2003,127
2004,142
2005,153
2006,155
2007,172
2008,176
2009,180
2010,206
2011,233
2012,239
2013,257
2014,266
2015,275
2016,298
2017,311
2018,324
2019,335
2020,111
2021,387
2022,366
