year,attendance
2006,2.39
2007,2.41
2008,1.97
2009,2.24
2010,2.51
2011,2.95
2012,3.46
2013,3.18
2014,2.72
2015,2.49
2016,2.71
2017,2.51
2018,2.11
2019,2.13
2021,2.11
2022,2.01
